"staircase_name","2*riser_gt_mm/1000 +  tread_gt_mm/1000","2*riser_alg_mm/1000 +  tread_alg_mm/1000","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
vesuvio_outdoor_from_above_1_591,1.0700000,0.511,-1,10,107,1510.00,111.0,156.000,149.0,758.000,213.0,1399.0,92.64900662251655,7.0,4.487179487179487,545.0,71.89973614775725,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_592,1.0700000,0.878,-1,10,107,1510.00,142.0,156.000,218.0,758.000,442.0,1368.0,90.59602649006622,62.0,39.743589743589745,316.0,41.68865435356201,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_593,1.0700000,0.618,-1,10,107,1510.00,185.0,156.000,200.0,758.000,218.0,1325.0,87.74834437086092,44.0,28.205128205128204,540.0,71.2401055408971,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_594,1.0700000,0.726,-1,10,119,1510.00,400.0,156.000,210.0,758.000,306.0,1110.0,73.50993377483444,54.0,34.61538461538461,452.0,59.63060686015831,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_595,1.0700000,0.585,-1,7,99,1510.00,315.0,156.000,136.0,758.000,313.0,1195.0,79.13907284768212,20.0,12.820512820512821,445.0,58.70712401055409,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_596,1.0700000,0.67,-1,11,88,1510.00,669.0,156.000,196.0,758.000,278.0,841.0,55.6953642384106,40.0,25.641025641025642,480.0,63.324538258575195,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_597,1.0700000,0.8580000000000001,-1,5,111,1510.00,186.0,156.000,203.0,758.000,452.0,1324.0,87.68211920529801,47.0,30.128205128205128,306.0,40.36939313984169,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_598,1.0700000,0.786,-1,10,97,1510.00,279.0,156.000,176.0,758.000,434.0,1231.0,81.52317880794702,20.0,12.820512820512821,324.0,42.74406332453826,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_599,1.0700000,0.768,-1,11,92,1510.00,209.0,156.000,176.0,758.000,416.0,1301.0,86.15894039735099,20.0,12.820512820512821,342.0,45.11873350923483,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_600,1.0700000,0.813,-1,6,95,1510.00,220.0,156.000,178.0,758.000,457.0,1290.0,85.43046357615894,22.0,14.102564102564102,301.0,39.70976253298153,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_601,1.0700000,0.504,-1,6,89,1510.00,470.0,156.000,124.0,758.000,256.0,1040.0,68.87417218543047,32.0,20.512820512820515,502.0,66.2269129287599,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_602,1.0700000,0.878,-1,6,98,1510.00,270.0,156.000,205.0,758.000,468.0,1240.0,82.11920529801324,49.0,31.41025641025641,290.0,38.25857519788918,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_603,1.0700000,0.431,-1,6,98,1510.00,271.0,156.000,118.0,758.000,195.0,1239.0,82.05298013245033,38.0,24.358974358974358,563.0,74.27440633245382,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_604,1.0700000,0.641,-1,7,99,1510.00,530.0,156.000,155.0,758.000,331.0,980.0,64.90066225165563,1.0,0.6410256410256411,427.0,56.33245382585752,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_605,1.0700000,0.851,-1,7,99,1510.00,346.0,156.000,227.0,758.000,397.0,1164.0,77.08609271523179,71.0,45.51282051282051,361.0,47.62532981530343,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_606,1.0700000,0.445,-1,4,88,1510.00,321.0,156.000,100.0,758.000,245.0,1189.0,78.74172185430463,56.0,35.8974358974359,513.0,67.67810026385224,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_607,1.0700000,0.646,-1,4,88,1510.00,632.0,156.000,227.0,758.000,192.0,878.0,58.145695364238414,71.0,45.51282051282051,566.0,74.67018469656992,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_608,1.0700000,0.76,-1,3,96,1510.00,117.0,156.000,159.0,758.000,442.0,1393.0,92.25165562913908,3.0,1.9230769230769231,316.0,41.68865435356201,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_609,1.0700000,0.745,-1,3,96,1510.00,495.0,156.000,160.0,758.000,425.0,1015.0,67.21854304635761,4.0,2.5641025641025643,333.0,43.931398416886545,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_610,1.0700000,0.5449999999999999,-1,3,96,1510.00,174.0,156.000,142.0,758.000,261.0,1336.0,88.47682119205298,14.0,8.974358974358974,497.0,65.56728232189974,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_611,1.0700000,0.844,-1,3,96,1510.00,109.0,156.000,217.0,758.000,410.0,1401.0,92.78145695364239,61.0,39.1025641025641,348.0,45.91029023746702,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_612,1.0700000,0.7110000000000001,-1,7,86,1510.00,168.0,156.000,156.0,758.000,399.0,1342.0,88.87417218543047,0.0,0.0,359.0,47.361477572559366,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_613,1.0700000,0.5329999999999999,-1,7,86,1510.00,133.0,156.000,176.0,758.000,181.0,1377.0,91.19205298013244,20.0,12.820512820512821,577.0,76.12137203166228,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_614,1.0700000,0.658,-1,6,94,1510.00,877.0,156.000,168.0,758.000,322.0,633.0,41.920529801324506,12.0,7.6923076923076925,436.0,57.519788918205805,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_615,1.0700000,0.9319999999999999,-1,6,94,1510.00,250.0,156.000,228.0,758.000,476.0,1260.0,83.44370860927152,72.0,46.15384615384615,282.0,37.20316622691293,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_616,1.0700000,0.741,-1,5,95,1510.00,649.0,156.000,195.0,758.000,351.0,861.0,57.019867549668874,39.0,25.0,407.0,53.693931398416886,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_617,1.0700000,0.874,-1,6,93,1510.00,334.0,156.000,227.0,758.000,420.0,1176.0,77.88079470198676,71.0,45.51282051282051,338.0,44.5910290237467,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
vesuvio_outdoor_from_above_1_618,1.0700000,0.683,-1,8,79,1510.00,89.0,156.000,179.0,758.000,325.0,1421.0,94.10596026490066,23.0,14.743589743589743,433.0,57.12401055408971,1190.3214285714287,1206.7992938820796,34.75,41.87012231719825,414.25,424.86573509420936
